timestamp,tower_id,latency_sec,bandwidth,dropped_calls,total_calls,uptime_percent,network_type,operator,users_connected,download_speed_mbps,signal_strength_dbm,tower_load_percent,average_call_duration_sec,handover_success_rate,packet_loss_percent,jitter_ms,tower_temperature_c,battery_backup_hours,tower_age_years,maintenance_due,upload_speed_mbps,call_drop_reason,weather_condition,technician_notes,last_maintenance,tower_color,is_test_tower,tower_height_m,signal_icon,internal_code,notes,extra_flag,location.latitude,location.longitude,signal_strength.RSSI,signal_strength.RSRP,signal_strength.SINR,voip_metrics.jitter_ms,voip_metrics.packet_loss_percent,call_drop_rate,bandwidth_mbps,bandwidth_numeric,anomaly
2025-08-22 00:00:00,TWR1062,0.363,64.56 Gbps,3,129,97.15,5G,Three,478,18.94,-79.37,75.36,199.4,97.61,1.58,14.64,37.1,6.6,10,True,7.58,Satisfactory,Foggy,,2024-08-22,Blue,False,75.81,📶,INT32166,,Z,57.144657,-2.092696,-110.41,-135.7,29.61,19.47,0.76,2.3255813953488373,64560.0,64.569,Normal
2025-08-22 00:05:00,TWR1077,0.11,81.71 Mbps,9,118,97.7,4G,O2,308,27.93,-92.57,86.72,103.3,92.67,3.57,3.24,29.4,9.3,17,True,11.17,Satisfactory,Sunny,Rebooted system,2025-04-16,Blue,True,33.35,📶,INT26102,Legacy hardware,C,52.493125,-1.897314,-73.55,-93.07,12.72,46.3,3.71,7.627118644067797,81.71,81.716,Normal
2025-08-22 00:10:00,TWR1056,0.965,98.17 Mbps,0,69,96.56,4G,EE,272,31.06,-99.89,30.1,289.2,91.83,2.84,19.96,25.6,3.2,15,True,12.42,Satisfactory,Cloudy,No issues,2025-07-16,Red,False,34.38,🔇,INT76858,Pending upgrade,A,53.408641,-2.987669,-91.22,-82.46,21.31,38.92,1.36,0.0,98.17,98.176,Anomaly
2025-08-22 00:15:00,TWR1043,0.364,12.41 Gbps,8,191,99.28,4G,Vodafone UK,88,72.46,-106.37,67.68,63.7,88.2,4.92,2.28,24.6,10.7,9,False,28.99,Satisfactory,Rainy,Checked cables,2024-10-13,Red,True,37.54,✅,INT43663,Legacy hardware,Z,51.744629,-1.264011,-99.08,-90.35,-9.89,12.17,0.89,4.18848167539267,12410.0,12.419,Normal
2025-08-22 00:20:00,TWR1062,0.211,98.31 Gbps,3,69,97.56,5G,O2,15,153.85,-84.72,28.74,50.1,88.17,4.47,7.38,40.4,1.1,2,True,61.54,Poor Voice Quality,Rainy,,2024-09-08,Blue,True,85.49,🔇,INT79992,Pending upgrade,C,53.408299,-2.98309,-73.74,-115.27,24.99,11.5,2.02,4.3478260869565215,98310.0,98.319,Normal
2025-08-22 00:25:00,TWR1046,0.218,5.31 Gbps,4,87,99.6,5G,Three,52,98.04,-106.01,53.29,84.3,98.01,0.38,9.91,41.3,6.0,4,True,39.22,Other,Rainy,No issues,2025-04-18,White,False,70.0,📶,INT26113,,A,55.948337,-3.183758,-118.23,-115.7,-6.58,41.74,3.58,4.597701149425287,5310.0,5.319,Normal
2025-08-22 00:30:00,TWR1024,0.579,19.6 Gbps,9,137,95.99,4G,Three,372,23.7,-79.5,14.43,248.1,98.1,3.1,3.26,21.6,5.4,11,False,9.48,Satisfactory,Sunny,Checked cables,2025-02-19,Blue,True,35.83,📶,INT76860,,B,51.753465,-1.262404,-101.0,-125.52,26.05,46.11,4.0,6.569343065693431,19600.0,19.69,Normal
2025-08-22 00:35:00,TWR1079,0.661,89.16 Gbps,1,98,99.3,LTE,Three,497,18.28,-98.98,56.65,104.7,92.08,2.55,10.74,37.1,2.7,19,False,7.31,Poor Voice Quality,Sunny,Checked cables,2024-12-17,Blue,True,87.07,⚠️,INT58901,Temporary site,A,51.758018,-1.261879,-118.77,-95.09,28.93,21.98,3.97,1.020408163265306,89160.0,89.169,Normal
2025-08-22 00:40:00,TWR1029,0.633,52.66 Mbps,3,147,98.48,LTE,Vodafone UK,127,56.5,-107.56,14.4,53.1,98.11,3.4,6.2,15.2,7.0,20,False,22.6,Poor Voice Quality,Foggy,Rebooted system,2024-12-23,Grey,False,43.58,✅,INT70329,Temporary site,Z,50.812527,-0.14026,-85.9,-112.95,27.95,25.59,1.6,2.0408163265306123,52.66,52.666,Normal
2025-08-22 00:45:00,TWR1032,0.333,92.84 Gbps,7,164,95.57,5G,Vodafone UK,467,19.34,-72.97,44.41,58.8,99.98,3.39,6.52,27.9,0.7,14,False,7.74,Satisfactory,Cloudy,Checked cables,2024-10-21,Blue,True,65.89,📶,INT58963,Legacy hardware,A,57.158691,-2.087197,-93.68,-128.22,10.27,6.21,0.37,4.2682926829268295,92840.0,92.849,Normal
2025-08-22 00:50:00,TWR1050,0.909,93.55 Gbps,5,52,98.3,5G,O2,292,29.24,-98.74,63.02,268.9,99.53,0.66,17.99,28.1,2.1,11,False,11.7,Other,Foggy,Rebooted system,2024-12-10,Blue,True,53.13,⚠️,INT94130,,B,51.462612,-2.578831,-80.82,-136.61,-8.37,40.99,0.3,9.615384615384617,93550.0,93.559,Normal
2025-08-22 00:55:00,TWR1022,0.5,95.68 Gbps,1,56,98.28,5G,EE,19,144.93,-95.28,74.26,87.1,86.11,0.83,17.02,18.2,11.8,19,False,57.97,Poor Voice Quality,Cloudy,No issues,2024-09-19,Red,False,86.62,📶,INT32972,,A,54.980615,-1.626792,-107.38,-125.52,-6.02,14.06,0.21,1.7857142857142856,95680.0,95.689,Normal
2025-08-22 01:00:00,TWR1043,0.919,28.4 Gbps,8,57,98.39,LTE,Vodafone UK,432,20.75,-103.46,10.24,187.4,89.63,0.33,19.03,28.4,2.9,20,False,8.3,Poor Voice Quality,Cloudy,Checked cables,2025-05-28,Red,False,90.23,⚠️,INT13771,Pending upgrade,A,52.483107,-1.886919,-96.86,-91.42,-6.91,16.01,3.24,14.035087719298245,28400.0,28.49,Anomaly
2025-08-22 01:05:00,TWR1035,0.989,71.99 Mbps,0,114,96.49,5G,Vodafone UK,161,47.39,-88.51,69.22,253.2,90.48,2.0,10.55,23.9,8.4,11,True,18.96,,Foggy,Checked cables,2025-08-11,Red,True,68.44,🔇,INT95251,Legacy hardware,B,51.51127,-0.122151,-84.59,-92.04,12.02,16.53,0.26,0.0,71.99,71.996,Normal
2025-08-22 01:10:00,TWR1097,0.37,38.91 Mbps,2,169,95.29,4G,Vodafone UK,117,59.88,-64.06,41.62,296.2,87.31,0.23,11.18,18.5,3.3,6,False,23.95,Poor Voice Quality,Cloudy,,2025-06-07,Red,False,32.64,📶,INT57841,Legacy hardware,Z,51.761164,-1.254078,-73.73,-107.92,-7.22,1.02,2.45,1.183431952662722,38.91,38.916,Normal
2025-08-22 01:15:00,TWR1012,0.408,64.21 Mbps,2,159,95.49,LTE,Vodafone UK,473,19.12,-88.64,90.36,169.8,97.47,2.5,15.74,33.3,11.4,16,True,7.65,Satisfactory,Cloudy,,2024-10-31,Blue,True,86.68,🔇,INT87615,,B,53.415794,-2.996819,-79.91,-121.41,-8.01,14.81,0.28,1.257861635220126,64.21,64.216,Normal
2025-08-22 01:20:00,TWR1027,0.785,52.13 Gbps,2,169,95.19,LTE,O2,324,26.74,-107.77,64.79,254.1,86.81,2.51,6.14,17.0,9.4,14,True,10.7,Other,Rainy,Checked cables,2024-12-16,Red,False,93.52,📶,INT49007,Legacy hardware,A,57.157194,-2.100028,-100.91,-84.02,12.34,44.43,4.61,1.183431952662722,52130.0,52.139,Normal
